player_name,level,variant,attempt,steps,time_used,deaths,result,first_pass
bird,9,4,1,0,20.02,0,lose,False
bird,9,2,2,20,11.48,0,win,True
ant,1,2,1,19,4.85,0,win,True
ant,1,3,2,42,5.6,0,win,True
ant,1,1,3,67,6.14,0,win,True
ant,1,3,4,90,5.31,0,win,False
ant,2,2,5,164,16.54,0,win,True
ant,2,1,6,212,11.28,0,win,True
nameiszenki,1,2,1,20,4.08,0,win,True
nameiszenki,2,1,2,78,12.33,0,win,True
nameiszenki,3,3,3,93,4.24,0,win,True
nameiszenki,4,1,4,127,11.42,0,win,True
nameiszenki,5,3,5,183,11.91,0,win,True
nameiszenki,6,4,6,20,13.46,0,win,True
nameiszenki,6,1,7,20,14.01,0,lose,False
nameiszenki,7,1,8,79,12.62,0,win,True
nameiszenki,8,1,9,128,9.99,0,win,True
nameiszenki,9,1,10,23,20.0,0,lose,False
nameiszenki,9,3,11,26,2.68,0,win,True
nameiszenki,10,2,12,97,18.58,0,win,True
zenkiki,10,3,1,83,23.67,0,win,True
ant,1,1,1,0,15.0,0,lose,False
bee,1,1,1,24,8.11,0,win,True
a,1,3,1,21,6.76,0,win,True
a,1,2,1,19,6.38,0,win,True
nob,4,2,2,56,13.31,0,win,True
nob,5,1,3,0,20.0,0,lose,False
nob,5,1,1,2,20.01,0,lose,False
bee,7,3,1,31,11.98,0,win,True
bee,7,2,1,58,19.82,0,win,True
bee,7,3,1,94,14.41,0,win,True
nob,1,3,1,25,9.64,0,win,True
nob,1,2,1,46,5.75,0,win,True
nob,1,1,1,71,7.39,0,win,True
nob,1,1,2,101,9.06,0,win,False
nob,1,2,2,120,7.09,0,win,False
nob,1,3,2,24,8.86,0,win,False
nob,1,1,3,70,15.01,0,lose,False
nob,1,2,3,90,5.13,0,win,False
nob,1,3,3,111,5.51,0,win,False
nob,1,3,4,28,6.74,0,win,False
nob,1,2,4,75,15.01,0,lose,False
nob,1,1,4,102,5.68,0,win,False
nob,1,1,5,128,7.06,0,win,False
nob,1,2,5,153,5.65,0,win,False
nob,1,3,5,179,6.11,0,win,False
nob,1,3,6,23,5.88,0,win,False
nob,1,3,7,24,8.44,0,win,False
jerry,2,3,1,48,14.95,0,win,True
jerry,2,1,1,104,14.76,0,win,True
jerry,2,2,1,176,17.32,0,win,True
jerry,9,1,1,192,8.18,0,win,True
jerry,9,2,1,214,10.59,0,win,True
jerry,9,3,1,220,5.39,0,win,True
jerry,9,4,1,9,7.87,0,win,True
jerry,10,1,1,102,30.44,0,win,True
jerry,10,2,1,65,21.41,0,win,True
jerry,5,2,1,32,14.06,0,win,True
jerry,8,3,1,49,18.68,0,win,True
jerry,8,2,1,102,20.9,0,win,True
jerry,8,1,1,153,18.13,0,win,True
jerry,3,1,1,17,6.18,4,win,True
jerry,3,3,1,52,10.01,7,lose,False
ant,3,5,1,14,5.76,0,win,True
pooh,8,2,1,49,26.07,0,win,True
pooh,7,2,1,52,25.01,0,lose,False
